=== RÉSUMÉ GLOBAL ===

Rang;Méthode de Contrôle;Temps Attente Moyen (s);Longueur File Moyenne;Meilleur?
1;Q-Learning Contextuel;2.9324;3.5422;*** MEILLEUR ***
2;Q-Learning;2.9860;3.5418;
3;Feux Temporisés;3.1927;4.1030;

Meilleure Méthode: Q-Learning Contextuel
Nombre de Simulations: 25 par méthode


=== RÉSULTATS DÉTAILLÉS PAR SCÉNARIO ===

Scénario;Taux de Spawn;Méthode;Nb Simulations;Attente Moy (s);Écart-Type Attente;Attente Min (s);Attente Max (s);IC95 Attente;Attente Max Moy (s);Écart-Type Attente Max;File Moy;Écart-Type File;File Min;File Max;IC95 File;File Max Moy;Écart-Type File Max;Voitures Générées Moy;Meilleur du Scénario?
Trafic Élevé;1;Feux Temporisés;5;4.3665;0.1765;4.1646;4.6370;0.1547;13.3800;1.4704;5.6477;0.2469;5.4289;6.0582;0.2164;18.0000;0.0000;177.60;MEILLEUR
Trafic Élevé;1;Q-Learning;5;4.5681;0.3116;4.2899;5.0673;0.2731;12.7800;0.5933;5.3858;0.3438;5.0593;5.8622;0.3013;17.2000;0.8367;174.60;
Trafic Élevé;1;Q-Learning Contextuel;5;4.5177;0.3386;4.0866;5.0060;0.2968;12.4000;0.6745;5.3430;0.2344;5.1672;5.7403;0.2054;17.8000;0.4472;175.60;
Trafic Moyen-Élevé;2;Feux Temporisés;5;3.3674;0.2571;3.0431;3.6771;0.2253;11.3600;0.5225;5.2180;0.4159;4.6178;5.7629;0.3646;14.6000;2.6077;144.60;
Trafic Moyen-Élevé;2;Q-Learning;5;3.1002;0.2401;2.8013;3.4245;0.2105;9.1000;1.7248;4.0929;0.2669;3.7585;4.3674;0.2340;12.4000;1.5166;153.20;MEILLEUR
Trafic Moyen-Élevé;2;Q-Learning Contextuel;5;3.1883;0.2616;2.8368;3.4935;0.2293;8.3000;1.2268;4.3343;0.1356;4.1391;4.4947;0.1189;12.6000;0.5477;155.40;
Trafic Moyen;5;Feux Temporisés;5;2.2160;0.2373;1.9067;2.5411;0.2080;8.1000;1.4782;2.3335;0.2311;2.1279;2.7135;0.2026;6.6000;1.1402;73.40;
Trafic Moyen;5;Q-Learning;5;1.5179;0.0939;1.3904;1.6184;0.0823;6.0200;1.0109;1.7233;0.1306;1.5712;1.8905;0.1144;4.6000;0.8944;72.20;
Trafic Moyen;5;Q-Learning Contextuel;5;1.3808;0.1289;1.2472;1.5562;0.1130;4.2800;0.7918;1.7057;0.1977;1.3950;1.9145;0.1733;4.6000;0.5477;72.40;MEILLEUR
Trafic Faible;10;Feux Temporisés;5;1.7798;0.3533;1.2722;2.1303;0.3097;7.9400;1.9769;1.3990;0.1169;1.2583;1.5078;0.1025;3.2000;0.4472;36.00;
Trafic Faible;10;Q-Learning;5;1.1649;0.1422;1.0605;1.4029;0.1247;4.2400;0.8264;1.1811;0.1967;0.8750;1.3700;0.1724;3.0000;0.7071;36.40;
Trafic Faible;10;Q-Learning Contextuel;5;0.9243;0.1246;0.7513;1.0571;0.1092;3.8000;0.7071;1.1018;0.3152;0.6000;1.3567;0.2763;3.0000;0.0000;36.40;MEILLEUR
Trafic Fluctuant;variable;Feux Temporisés;5;4.2340;0.1116;4.1016;4.3480;0.0978;13.0200;0.4817;5.9168;0.4417;5.5578;6.6337;0.3871;18.0000;0.0000;180.60;MEILLEUR
Trafic Fluctuant;variable;Q-Learning;5;4.5789;0.3283;4.2253;4.9526;0.2878;13.0000;0.3742;5.3260;0.2122;5.1572;5.5894;0.1860;17.4000;0.5477;175.60;
Trafic Fluctuant;variable;Q-Learning Contextuel;5;4.6508;0.1727;4.4149;4.8756;0.1514;12.8200;0.2775;5.2260;0.3753;4.7987;5.6184;0.3290;16.6000;1.9494;173.20;
